127.0.0.1 - - [16/May/2024:22:02:48 +0530] "GET / HTTP/1.1" 404 751
0:0:0:0:0:0:0:1 - - [16/May/2024:22:02:50 +0530] "GET /springmvc/ HTTP/1.1" 404 682
0:0:0:0:0:0:0:1 - - [16/May/2024:22:02:55 +0530] "GET /springmvc/contact HTTP/1.1" 200 1763
0:0:0:0:0:0:0:1 - - [16/May/2024:22:03:11 +0530] "GET /springmvc/index HTTP/1.1" 404 682
0:0:0:0:0:0:0:1 - - [16/May/2024:22:03:20 +0530] "GET /springmvc/home HTTP/1.1" 200 299
0:0:0:0:0:0:0:1 - - [16/May/2024:22:03:25 +0530] "GET /springmvc/contact HTTP/1.1" 200 1763
0:0:0:0:0:0:0:1 - - [16/May/2024:22:04:22 +0530] "GET /springmvc/contact HTTP/1.1" 200 2458
0:0:0:0:0:0:0:1 - - [16/May/2024:22:04:55 +0530] "GET /springmvc/contact HTTP/1.1" 200 2510
0:0:0:0:0:0:0:1 - - [16/May/2024:22:05:25 +0530] "GET /springmvc/contact HTTP/1.1" 200 2516
0:0:0:0:0:0:0:1 - - [16/May/2024:22:06:10 +0530] "GET /springmvc/contact HTTP/1.1" 200 2400
0:0:0:0:0:0:0:1 - - [16/May/2024:22:08:31 +0530] "GET /springmvc/contact HTTP/1.1" 200 2361
0:0:0:0:0:0:0:1 - - [16/May/2024:22:08:43 +0530] "GET /springmvc/contact HTTP/1.1" 200 2353
0:0:0:0:0:0:0:1 - - [16/May/2024:22:09:36 +0530] "GET /springmvc/contact?email=dhsg%40gmail.com&name=Ajehfj&password=ajfbje HTTP/1.1" 200 2388
0:0:0:0:0:0:0:1 - - [16/May/2024:22:09:43 +0530] "POST /springmvc/processform HTTP/1.1" 404 682
0:0:0:0:0:0:0:1 - - [16/May/2024:22:20:25 +0530] "GET /springmvc/contact HTTP/1.1" 200 2388
0:0:0:0:0:0:0:1 - - [16/May/2024:22:20:42 +0530] "POST /springmvc/processform HTTP/1.1" 404 763
0:0:0:0:0:0:0:1 - - [16/May/2024:22:34:13 +0530] "POST /springmvc/processform HTTP/1.1" 200 289
0:0:0:0:0:0:0:1 - - [16/May/2024:22:34:34 +0530] "POST /springmvc/processform HTTP/1.1" 200 291
0:0:0:0:0:0:0:1 - - [16/May/2024:22:42:26 +0530] "POST /springmvc/processform HTTP/1.1" 200 507
0:0:0:0:0:0:0:1 - - [16/May/2024:22:42:27 +0530] "POST /springmvc/processform HTTP/1.1" 200 507
0:0:0:0:0:0:0:1 - - [16/May/2024:22:42:33 +0530] "GET /springmvc/contact HTTP/1.1" 200 2388
0:0:0:0:0:0:0:1 - - [16/May/2024:22:42:50 +0530] "POST /springmvc/processform HTTP/1.1" 200 507
0:0:0:0:0:0:0:1 - - [16/May/2024:22:46:13 +0530] "GET /springmvc/contact HTTP/1.1" 200 2425
0:0:0:0:0:0:0:1 - - [16/May/2024:22:46:43 +0530] "GET /springmvc/contact HTTP/1.1" 200 2436
0:0:0:0:0:0:0:1 - - [16/May/2024:22:47:10 +0530] "GET /springmvc/contact HTTP/1.1" 200 2445
0:0:0:0:0:0:0:1 - - [16/May/2024:22:47:53 +0530] "GET /springmvc/contact HTTP/1.1" 200 2480
0:0:0:0:0:0:0:1 - - [16/May/2024:22:48:38 +0530] "GET /springmvc/contact HTTP/1.1" 200 2488
0:0:0:0:0:0:0:1 - - [16/May/2024:22:48:50 +0530] "POST /springmvc/processform HTTP/1.1" 200 571
0:0:0:0:0:0:0:1 - - [16/May/2024:22:53:27 +0530] "GET /springmvc/home HTTP/1.1" 200 299
